Name,Description
HEARTBEAT,A periodic heartbeat to indicate that the system is still running.
RESPONSE,A response to a telecommand with the response data.
ACKNOWLEDGE,Acknowledge receiving a command.
MESSAGE,A text message.
DATA1,The first part of the telemetry of the system.
DATA2,The second part of the telemetry of the system.
DATA3,The third part of the telemetry of the system.
DATA_MOTOR_SPEEDS,The motor speed telemetry.
DATA_ROTATION_SPEEDS,The rotation speed telemetry.
DATA_SET_POINTS,The set points telemetry.
DATA_RECOVERY,The data generated by the recovery thread once in the RECOVERY state.
